	SubjectID1	SubjectID2	Group1	Group2	Distance
196	G4	D2	Ceiba	Luquillo	0.35564010961517756
197	G4	D3	Ceiba	Luquillo	0.4168041655970367
198	G4	D4	Ceiba	Luquillo	0.3997200268725945
199	G4	D5	Ceiba	Luquillo	0.3583238141416067
200	G5	D1	Ceiba	Luquillo	0.4688697489720121
201	G5	D2	Ceiba	Luquillo	0.3975191304783256
202	G5	D3	Ceiba	Luquillo	0.5377728523507791
203	G5	D4	Ceiba	Luquillo	0.5093017690911332
204	G5	D5	Ceiba	Luquillo	0.31181418821825513
205	G6	D1	Ceiba	Luquillo	0.40717999105740205
206	G6	D2	Ceiba	Luquillo	0.4102485801391649
207	G6	D3	Ceiba	Luquillo	0.5014973896257441
208	G6	D4	Ceiba	Luquillo	0.5412548942286322
209	G6	D5	Ceiba	Luquillo	0.3473332213430675
210	G7	D1	Ceiba	Luquillo	0.5088763371783294
211	G7	D2	Ceiba	Luquillo	0.42621706456269143
212	G7	D3	Ceiba	Luquillo	0.5430032923338993
213	G7	D4	Ceiba	Luquillo	0.4331950500273574
214	G7	D5	Ceiba	Luquillo	0.37380938447964307
215	G8	D1	Ceiba	Luquillo	0.4538950149166696
216	G8	D2	Ceiba	Luquillo	0.31740701988108316
217	G8	D3	Ceiba	Luquillo	0.48030252446124877
218	G8	D4	Ceiba	Luquillo	0.34461463802069414
219	G8	D5	Ceiba	Luquillo	0.29436187143929515
220	G9	D1	Ceiba	Luquillo	0.4676247117581416
221	G9	D2	Ceiba	Luquillo	0.401706969955422
222	G9	D3	Ceiba	Luquillo	0.42978850424818255
223	G9	D4	Ceiba	Luquillo	0.36130952080976786
224	G9	D5	Ceiba	Luquillo	0.2836402190024019
225	G1	B1	Ceiba	Ponce	0.4732697666579988
226	G1	B2	Ceiba	Ponce	0.5745276945646045
227	G1	B3	Ceiba	Ponce	0.329174248222366
228	G2	B1	Ceiba	Ponce	0.4309769644636691
229	G2	B2	Ceiba	Ponce	0.5772789283292815
230	G2	B3	Ceiba	Ponce	0.45349148084922086
231	G3	B1	Ceiba	Ponce	0.5121528390045798
232	G3	B2	Ceiba	Ponce	0.5617207670296329
233	G3	B3	Ceiba	Ponce	0.5334005728763866
234	G4	B1	Ceiba	Ponce	0.34878816862480677
235	G4	B2	Ceiba	Ponce	0.47649276886766595
236	G4	B3	Ceiba	Ponce	0.29811608373005655
237	G5	B1	Ceiba	Ponce	0.3185200964714113
238	G5	B2	Ceiba	Ponce	0.5527034770054527
239	G5	B3	Ceiba	Ponce	0.453823583803865
240	G6	B1	Ceiba	Ponce	0.39316560999689615
241	G6	B2	Ceiba	Ponce	0.546555815312601
242	G6	B3	Ceiba	Ponce	0.4308623308897989
243	G7	B1	Ceiba	Ponce	0.356897017668503
244	G7	B2	Ceiba	Ponce	0.49562568039157384
245	G7	B3	Ceiba	Ponce	0.3745279224278219
246	G8	B1	Ceiba	Ponce	0.34596671115886124
247	G8	B2	Ceiba	Ponce	0.4801871755820333
248	G8	B3	Ceiba	Ponce	0.4211176439451404
249	G9	B1	Ceiba	Ponce	0.24031375423363854
250	G9	B2	Ceiba	Ponce	0.4822020837441768
251	G9	B3	Ceiba	Ponce	0.3762422296403364
252	G1	A1	Ceiba	Rincon	0.5249319476807973
253	G1	A10	Ceiba	Rincon	0.34986594377894603
254	G1	A2	Ceiba	Rincon	0.41049247991976473
255	G1	A3	Ceiba	Rincon	0.4797337250391283
256	G1	A4	Ceiba	Rincon	0.5294361140306174
257	G1	A5	Ceiba	Rincon	0.46920303401990066
258	G1	A6	Ceiba	Rincon	0.40440266908331945
259	G1	A7	Ceiba	Rincon	0.48825965018486384
260	G1	A8	Ceiba	Rincon	0.3534016201659362
261	G1	A9	Ceiba	Rincon	0.44920868730320945
262	G2	A1	Ceiba	Rincon	0.5207183038853848
263	G2	A10	Ceiba	Rincon	0.4258986608511551
264	G2	A2	Ceiba	Rincon	0.5920635136598852
265	G2	A3	Ceiba	Rincon	0.4428348164060114
266	G2	A4	Ceiba	Rincon	0.549042806046972
267	G2	A5	Ceiba	Rincon	0.47670173949994876
268	G2	A6	Ceiba	Rincon	0.4223239763159631
269	G2	A7	Ceiba	Rincon	0.44451470136241567
270	G2	A8	Ceiba	Rincon	0.35956521049029566
271	G2	A9	Ceiba	Rincon	0.36963458996702
272	G3	A1	Ceiba	Rincon	0.37772454681408985
273	G3	A10	Ceiba	Rincon	0.6076035541163387
274	G3	A2	Ceiba	Rincon	0.6350300417359069
275	G3	A3	Ceiba	Rincon	0.5316585772376279
276	G3	A4	Ceiba	Rincon	0.6707987229242065
277	G3	A5	Ceiba	Rincon	0.4829064792208793
278	G3	A6	Ceiba	Rincon	0.49956162360851636
279	G3	A7	Ceiba	Rincon	0.5393488777370021
280	G3	A8	Ceiba	Rincon	0.5988549404354202
281	G3	A9	Ceiba	Rincon	0.526695559966993
282	G4	A1	Ceiba	Rincon	0.4148094123889641
283	G4	A10	Ceiba	Rincon	0.31636225105625965
284	G4	A2	Ceiba	Rincon	0.4490548850778468
285	G4	A3	Ceiba	Rincon	0.3726215255287888
286	G4	A4	Ceiba	Rincon	0.49600260225253257
287	G4	A5	Ceiba	Rincon	0.32069253913112206
288	G4	A6	Ceiba	Rincon	0.2951163722878312
289	G4	A7	Ceiba	Rincon	0.3617794380632881
290	G4	A8	Ceiba	Rincon	0.36527112457199107
291	G4	A9	Ceiba	Rincon	0.42653604017599905
292	G5	A1	Ceiba	Rincon	0.4532008033195848
293	G5	A10	Ceiba	Rincon	0.46427907868063106
294	G5	A2	Ceiba	Rincon	0.6163991455300026
295	G5	A3	Ceiba	Rincon	0.3317801819335031
296	G5	A4	Ceiba	Rincon	0.5186160542287089
297	G5	A5	Ceiba	Rincon	0.3913258185608935
298	G5	A6	Ceiba	Rincon	0.41678569753403116
299	G5	A7	Ceiba	Rincon	0.36026964408934714
300	G5	A8	Ceiba	Rincon	0.29117532571981114
301	G5	A9	Ceiba	Rincon	0.1982825208914333
302	G6	A1	Ceiba	Rincon	0.4884297391681901
303	G6	A10	Ceiba	Rincon	0.39938646214414664
304	G6	A2	Ceiba	Rincon	0.5514736738089399
305	G6	A3	Ceiba	Rincon	0.3829798618675287
306	G6	A4	Ceiba	Rincon	0.5259884717762672
307	G6	A5	Ceiba	Rincon	0.4132439556206131
308	G6	A6	Ceiba	Rincon	0.4157438275748212
309	G6	A7	Ceiba	Rincon	0.31838506273855377
